Course code,Average,Standard Deviation,min,max
EOSC 223,87,7,69,93
DSCI 100,85,9,62,97
PLAN 425,86,6,77,96
MINE 493,76,10,60,98
FREN 224,82,7,72,93
EPSE 537,89,5,80,97
MIDW 108,87,4,81,92
MATH 316,83,4,86,99
AUDI 550,83,,,
PATH 427,85,5,80,97
MICB 302,88,2,90,97
EOSC 433,81,5,85,97
CHEM 561,86,4,84,97
SCAN 335,85,4,88,98
MUSC 349,74,7,74,93
APBI 360,92,3,86,93
SPAN 527,81,1,95,97
BIOC 402,77,1,95,98
CPSC 311,78,3,86,100
GEOG 457,81,5,79,97
EOSC 512,90,4,83,98
EOSC 326,85,3,88,99
MATH 317,81,2,88,93
COEC 498,78,7,69,94
GREK 352,87,1,88,93
GERM 310,86,5,79,97
MIDW 305,82,0,97,97
CDST 350,89,5,78,93
CHIN 241,87,5,80,93
JRNL 550,94,1,92,94
GEOG 327,,6,76,98
ARTH 380,,1,87,90
CRWR 230,87,3,83,93
BAIT 508,95,3,89,98
ENGL 245,93,4,80,92
APSC 486,93,2,88,94
PHYS 405,92,27,27,94
PHYS 407,86,4,83,96
LLED 536,89,4,85,97
HIST 106,96,10,63,90
CIVL 417,97,3,78,86
EOSC 471,97,4,82,93
ASIA 300,90,13,46,95
POLI 324,90,1,90,93
COMM 461,94,4,85,98
CIVL 230,92,5,82,98
APBI 315,85,3,86,95
MECH 225,91,4,83,93
CHEM 213,88,7,73,93
SOCI 364,97,3,85,94
FOOD 529,84,2,82,86
LARC 515,86,2,82,86
EDST 543,93,17,36,94
NEST 402,87,14,60,99
APBI 418,89,0,97,97
ANTH 516,89,4,81,92
LIBR 512,96,14,47,93
COMM 353,87,2,82,88
BIOF 501,90,3,80,87
EOSC 545,72,3,85,95
GRSJ 300,90,4,78,91
MATH 190,89,5,78,95
ECON 351,82,9,65,96
ECON 315,83,8,69,95
CHIN 493,87,9,67,94
BMEG 591,72,4,78,95
BUSI 443,92,3,80,88
EPSE 575,91,2,87,92
ENGL 232,88,12,50,96
BMEG 456,91,11,0,99
ARST 565,88,10,54,93
CPSC 415,85,5,75,90
ASTR 404,90,6,74,96
GEOB 206,84,9,56,94
SOWK 524,84,7,56,97
ARCL 405,84,16,24,93
BUSI 499,81,9,59,95
MATH 406,81,6,75,90
BAMA 511,97,8,72,98
SURG 518,86,13,39,98
BMEG 599,80,5,82,95
MEDG 420,85,2,84,94
MECH 520,84,4,80,93
EOSC 475,88,7,63,92
CIVL 520,85,3,80,88
HIST 405,86,6,77,93
CRWR 306,79,4,83,94
GEOG 535,83,14,27,87
GEOB 503,84,10,65,96
COEC 365,86,7,74,97
MUSC 310,84,9,44,94
PHYS 219,90,14,0,98
MTRL 471,77,,,
MTRL 398,84,5,75,90
COMM 483,84,14,29,98
MUSC 593,81,10,66,100
CHEM 427,88,11,47,95
ANTH 435,84,14,32,98
ETEC 530,89,4,74,85
POLI 322,71,2,85,92
MEDG 521,82,1,85,88
INLB 201,85,4,78,88
ASTR 508,91,9,49,90
PSYC 388,76,3,78,88
NURS 531,89,7,73,93
DHYG 412,89,3,90,97
EPSE 553,87,2,90,96
COMM 674,83,3,76,89
GSAT 540,85,3,85,91
GEOG 497,85,0,97,97
MATH 603,90,2,85,90
GEOB 300,73,0,97,97
MUSC 394,91,2,85,93
APSC 160,85,2,85,90
MECH 222,74,9,60,88
VISA 341,81,3,90,95
NURS 310,,5,74,91
BIOL 428,,6,67,94
MECH 435,87,8,58,95
GRSJ 501,79,2,88,95
CPSC 538,85,3,85,93
PLAN 525,81,2,85,94
FISH 520,79,4,90,100
CRWR 301,81,3,85,98
AUDI 567,89,5,72,99
ARTH 319,87,9,20,98
CONS 330,84,3,87,98
ASIA 325,81,2,93,98
HIST 319,83,5,53,100
HIST 484,83,2,85,91
ECED 405,94,5,73,91
VISA 310,93,8,65,91
ENGL 220,85,2,91,96
EDCP 471,88,4,78,93
CPSC 301,97,,,
THTR 339,87,16,0,96
ELEC 457,97,15,0,94
CPSC 312,88,17,11,100
MUSC 271,87,9,55,96
CHEM 203,80,5,76,90
PSYC 460,93,4,76,91
ENGL 347,84,15,1,98
EPSE 431,84,13,9,99
ENGL 332,87,10,61,90
SPPH 586,91,15,6,99
SOCI 433,89,14,0,98
MECH 511,89,15,8,96
MECH 467,98,5,78,94
LING 345,93,3,78,87
ECON 355,94,6,75,90
CPEN 211,92,8,69,90
ANTH 100,96,5,78,93
CHEM 566,95,6,64,91
FRST 522,93,15,0,100
EPSE 577,89,6,74,98
MINE 598,83,16,28,93
GEOG 290,81,7,65,92
PHIL 514,93,15,5,90
NURS 571,86,10,66,100
EECE 555,,11,16,86
FRST 110,,7,55,94
CRWR 411,74,5,55,91
ARCH 521,75,6,63,92
ARTH 358,71,9,59,92
CPEN 421,83,9,40,95
CHEM 330,85,10,50,93
DSCI 591,85,9,55,94
ASIA 354,80,9,50,90
CRWR 501,84,14,0,98
CIVL 231,72,11,23,93
COGS 401,83,8,66,94
LLED 601,78,7,58,87
LIBR 556,72,5,70,94
EOSC 111,84,14,13,88
LLED 478,84,16,13,98
BIOF 540,83,9,62,96
FNIS 220,81,,,
COEC 371,88,14,36,100
PHYS 473,77,10,30,94
THTR 301,78,15,23,99
FOOD 523,86,9,54,93
INFO 419,75,12,14,91
ECON 542,79,11,36,93
MTRL 340,73,12,25,90
BUSI 344,88,11,45,99
FISH 507,76,16,18,100
CPSC 313,83,14,33,100
FREN 111,83,9,57,92
FRST 543,80,4,82,93
CONS 302,77,4,80,92
CHEM 435,82,5,79,93
SOCI 380,77,6,77,94
ECON 316,78,6,72,90
RUSS 400,77,3,84,94
DSCI 513,81,4,82,96
COMM 445,70,4,80,95
BAFI 502,83,9,70,95
INLB 310,72,4,87,100
CELL 505,82,5,72,89
DSCI 531,66,7,75,97
CONS 370,68,3,90,96
ARTH 339,81,6,71,91
CIVL 441,,7,72,100
CPSC 418,,5,73,88
GEOG 410,81,6,80,96
MUSC 200,82,3,90,98
ENGL 312,78,8,69,96
ELEC 341,76,5,75,88
APSC 278,70,2,82,88
MUSC 524,69,8,71,94
BIOC 558,66,1,88,90
ELEC 523,71,0,90,90
MECH 329,74,4,72,85
PHRM 361,74,10,60,100
HIST 108,77,11,50,91
ENDS 420,89,7,65,98
BIOL 345,86,8,56,86
COMM 100,84,13,0,96
POLI 460,86,,,
CHEM 345,81,13,0,90
ETEC 565,90,12,44,98
APBI 490,88,14,0,93
APBI 428,87,4,78,91
EPSE 312,90,13,54,99
FREN 418,93,5,73,93
EECE 564,81,9,60,93
ANTH 495,87,6,66,89
CHBE 496,92,14,0,95
PATH 535,84,7,55,88
CLST 301,88,7,62,91
GEOB 407,80,8,60,93
CHEM 208,86,16,0,82
MECH 260,92,17,9,92
CIVL 413,79,13,32,91
CHBE 365,83,13,33,92
POLI 428,86,15,34,96
MIDW 106,84,9,57,89
DSCI 524,88,14,4,96
CIVL 320,90,9,50,90
VANT 148,79,16,27,89
GERM 400,80,4,69,85
MATH 549,78,11,51,100
ARCH 512,78,4,78,95
PHRM 100,80,3,82,92
VISA 380,80,6,67,96
PHTH 527,,7,73,97
POLI 421,,4,78,95
SPHA 533,72,5,82,98
POLI 361,79,5,75,95
EDST 545,77,5,82,100
SOCI 370,83,5,78,98
PHTH 544,72,7,70,99
EOSC 220,83,8,70,99
SPAN 206,78,5,70,93
SPHA 563,80,3,87,96
PHAR 453,82,5,79,96
COMM 460,76,5,79,95
DHYG 310,77,6,67,92
CPSC 534,76,6,75,99
CIVL 586,66,7,70,99
MECH 469,71,4,87,98
ARTH 300,64,4,87,98
COMM 295,72,1,88,94
PUNJ 300,74,2,87,94
FRST 532,73,4,83,96
MECH 325,72,4,89,100
RMST 222,74,3,84,95
APBI 413,66,3,88,99
CIVL 518,77,3,79,91
PHTH 531,73,5,82,98
CHEM 251,91,6,62,96
AUDI 583,87,3,88,99
ELEC 412,87,10,58,94
GEOG 211,90,3,86,95
PSYC 301,85,6,70,94
PATH 300,92,4,82,100
ENPH 459,90,2,88,96
THTR 399,96,6,54,93
ELEC 494,92,3,82,95
GERM 100,87,12,35,93
FNIS 210,92,4,75,93
BUSI 393,85,4,75,90
MUSC 562,92,11,16,95
MIDW 325,88,5,65,95
ASIA 303,87,7,63,95
GEOG 412,83,10,38,93
FREN 521,93,11,30,97
COHR 486,94,13,35,100
ARCH 539,91,11,43,96
MATH 101,91,5,75,93
ANTH 452,91,12,39,100
MINE 292,92,13,2,97
AANB 504,90,6,81,99
AUDI 581,90,5,80,97
COGS 200,93,6,80,95
MIDW 430,91,6,83,100
STAT 536,93,3,87,98
OSOT 527,85,8,52,100
THTR 354,90,9,52,96
MUSC 104,89,4,82,91
MATH 220,94,3,83,90
PSYC 359,80,3,88,99
ENGL 242,91,,,
BIOL 501,85,1,88,91
PHRM 161,92,4,85,99
FRST 588,92,4,85,96
COEC 377,82,7,71,96
POLI 571,88,3,84,96
GEOG 495,79,3,82,96
CRWR 213,85,6,79,100
HIST 358,84,7,60,95
CHEM 517,79,9,63,99
MINE 590,84,8,68,94
EDCP 566,80,2,89,95
MEDI 548,77,5,75,94
ENGL 100,79,3,85,95
CHEM 473,79,8,70,91
ANTH 540,77,12,54,96
PHIL 450,81,24,0,100
MECH 596,81,9,70,91
NURS 346,74,16,46,95
GEOG 353,91,13,58,98
SPPH 514,89,4,78,90
CIVL 203,87,12,51,94
LARC 415,91,7,72,98
ENGL 358,94,5,80,95
ECED 585,90,7,78,98
PSYC 440,84,18,26,94
BIOC 556,88,13,58,98
MIDW 103,88,15,60,96
MECH 514,92,12,60,91
LLED 574,,8,73,92
CNPS 579,,5,85,98
GRSJ 500,90,9,68,97
SWED 100,90,8,73,98
MATH 592,90,12,59,93
COMM 635,85,5,84,97
THTR 445,89,8,70,96
BAFI 507,89,18,31,95
POLI 220,91,8,66,94
ENGL 227,85,9,60,100
GERM 390,86,8,60,95
LARC 501,85,8,53,90
CPEN 422,91,5,70,86
SOWK 453,90,,,
MICB 507,90,9,62,100
CHEM 250,80,13,49,98
PHYS 119,77,15,34,99
OSOT 511,82,14,50,99
GRSJ 502,84,12,31,94
ECON 628,83,7,65,96
MATH 418,86,11,57,97
ECON 531,84,14,41,100
LARC 444,81,12,44,100
INLB 320,82,14,28,100
BIOL 327,86,23,0,98
MUSC 537,88,11,0,97
CSIS 301,74,22,0,92
PHYS 101,86,5,80,93
AUDI 557,76,5,77,96
SOCI 560,80,5,73,96
FRST 430,85,7,72,92
CIVL 599,93,5,84,96
SPPH 550,86,9,66,92
ECON 325,88,7,67,93
DENT 410,80,8,61,95
URST 400,92,10,52,96
SPHA 580,83,8,58,97
MINE 302,72,6,69,96
CPEN 281,82,15,13,92
HIST 393,85,7,67,93
BAHR 550,82,6,72,89
HIST 324,75,9,51,97
SOCI 320,82,5,74,90
FRST 211,,13,35,100
AUDI 524,,14,34,100
ANTH 378,86,7,57,92
SOCI 210,85,7,76,100
BIOL 418,77,15,11,100
BAHR 508,76,10,40,96
ARTH 102,81,13,43,99
ENGL 223,83,5,71,94
JAPN 321,85,12,36,99
DENT 599,79,10,23,97
PHIL 560,86,7,45,92
HIST 376,76,4,69,92
HIST 331,77,6,59,93
HIST 548,78,6,59,93
COEC 370,75,14,24,95
AUDI 520,86,16,10,100
CRWR 206,85,5,72,97
ARST 545,85,10,44,97
ARCL 326,84,13,28,100
SOWK 416,90,11,32,95
GRSJ 316,80,8,47,97
CPSC 406,83,11,28,100
CPSC 107,83,5,71,92
BAMS 521,78,6,71,88
ASIA 311,83,6,66,91
EDST 541,88,7,64,91
ECON 327,79,6,70,90
IWME 503,81,4,80,89
ECON 561,82,2,82,87
FRST 413,78,0,90,90
ECED 416,84,4,80,95
NURS 578,75,0,95,95
CNPS 574,72,5,80,96
THTR 272,76,2,90,95
ECON 307,86,8,78,98
CPSC 320,73,3,87,96
LLED 459,77,7,74,96
HIST 237,79,4,90,100
ENGL 561,82,6,82,99
EPSE 436,75,5,77,97
POLI 420,77,6,81,99
CRWR 401,77,1,88,89
NURS 508,81,7,75,95
CIVL 402,78,7,70,98
PHYS 509,78,1,92,95
MICB 202,78,10,60,94
MTRL 363,74,8,72,99
BAHR 505,77,41,0,99
PHYS 159,87,3,85,94
CLST 231,80,11,65,95
ANTH 304,74,15,60,95
BAMA 506,72,10,55,87
ADHE 330,81,23,23,100
WOOD 440,76,14,41,96
BUSI 445,83,,,
MECH 502,81,14,50,96
ECON 485,80,16,52,97
CIVL 446,75,29,1,96
BAAC 551,85,30,19,91
STAT 302,85,8,68,95
PLAN 524,85,6,74,90
SOCI 599,90,7,77,97
EOSC 448,90,9,75,100
PHIL 102,95,4,85,94
PHIL 250,87,10,62,96
EOSC 330,92,17,24,94
PHIL 316,90,18,19,92
GRSJ 301,91,8,60,91
BIOL 300,87,6,68,92
GREK 351,95,23,4,99
LARC 503,89,7,61,96
ITAL 102,87,11,50,95
PHIL 363,88,17,5,99
EPSE 574,88,17,3,95
BAEN 506,88,15,44,100
THTR 310,88,18,3,100
AUDI 568,94,15,0,98
POLI 363,80,25,0,98
BIOL 433,86,15,37,100
ARCL 322,72,24,4,98
POLI 308,89,22,2,91
PHIL 323,81,17,10,96
LING 447,86,17,8,96
BIOC 302,73,17,0,100
CRWR 402,76,22,0,100
GRSJ 320,71,16,28,100
BAMS 504,,21,0,100
PSYC 207,,15,10,100
MECH 599,73,12,33,94
FIST 332,78,15,0,100
SPPH 301,68,16,0,100
MUSC 161,68,23,6,95
ECON 309,85,21,0,100
CRWR 570,80,15,1,99
ECON 442,86,20,2,100
CNTO 451,89,16,0,100
MECH 368,90,,,
LARC 504,85,17,0,100
EOSC 533,77,12,11,99
LIBR 511,77,12,52,100
RUSS 206,81,14,31,100
CPEN 431,79,19,27,100
CONS 495,86,15,0,100
ECED 441,85,16,4,100
ECON 550,75,15,0,99
URSY 550,71,19,0,100
EPSE 437,75,15,34,98
ASIA 460,73,16,0,99
BASM 502,68,21,1,97
EOSC 333,70,16,5,99
EOSC 426,72,17,0,94
FREN 112,72,14,13,98
EOSC 453,64,13,57,100
NEST 319,69,17,17,97
GEOG 220,71,17,6,98
LIBR 529,72,17,0,100
CPSC 210,68,17,0,98
BUSI 121,71,14,2,98
PLAN 341,72,14,0,96
BAMA 516,66,19,0,100
BAFI 500,67,16,0,100
CIVL 407,76,4,77,90
FOPR 264,73,5,80,95
DHYG 401,68,10,47,90
ARST 500,66,6,75,90
ARBC 420,64,11,40,88
PCTH 302,67,0,90,90
ARCL 204,67,0,90,90
PCTH 325,73,3,80,90
ECON 601,,3,80,91
MUSC 165,,17,21,94
LIBR 592,71,7,64,93
NURS 512,75,3,85,96
SPPH 567,81,6,75,96
JAPN 452,86,1,96,100
APBI 210,74,3,83,96
PSYC 368,73,3,83,93
ECON 495,62,5,83,99
CPSC 524,85,,,
ENGL 323,67,1,88,91
BMEG 556,69,2,88,93
ANTH 227,66,6,73,98
MICB 505,65,2,80,90
GEOG 311,64,12,24,95
EDST 503,61,7,52,93
COMM 205,66,3,84,97
GERM 433,79,12,46,93
MECH 436,70,4,80,95
SPPH 300,61,5,70,90
RHSC 501,64,10,51,95
CHBE 454,68,8,54,97
BASM 523,69,5,76,99
VISA 110,66,2,85,94
CHBE 484,66,5,74,95
ASIA 304,69,4,80,96
MUSC 311,82,8,64,98
FRST 497,87,8,62,95
ETEC 523,80,5,66,87
VISA 475,82,5,72,89
RHSC 581,75,6,60,87
MATH 121,90,6,67,89
ECON 544,90,7,56,89
WOOD 491,85,12,0,92
NRSC 501,87,12,0,91
SPPH 542,84,1,85,86
POLI 446,89,2,88,93
MATH 532,90,15,48,92
FRST 310,88,2,83,89
CHEM 315,99,4,84,95
EOSC 432,88,18,35,86
SPAN 402,88,17,43,89
MUSC 482,92,12,59,89
CHIN 437,,9,70,93
EOSC 322,,8,63,96
ANTH 217,90,14,23,100
CHIN 471,91,5,75,93
ASTU 204,88,11,38,97
ENGL 535,88,5,70,93
ENGL 464,86,9,50,98
ECON 562,86,14,51,100
ECON 367,89,14,25,96
CIVL 574,83,14,25,96
CRWR 508,88,7,72,90
WOOD 492,84,13,63,93
SOWK 531,85,7,66,91
COMM 467,86,8,75,100
BIOL 140,92,3,81,87
CRWR 530,88,10,63,90
CNRS 449,83,13,55,99
ENVR 200,87,6,70,94
SPPH 519,87,9,32,99
EOSC 353,86,10,57,98
SOCI 371,78,4,68,86
MUSC 141,79,11,34,97
ELEC 202,79,11,43,94
LARC 531,79,12,7,89
FRST 320,79,14,12,94
CHBE 355,73,15,33,99
HIST 313,67,10,37,97
FRST 302,85,12,10,95
BMEG 510,92,12,35,100
EDCP 491,85,11,29,91
NAME 581,85,11,40,91
FREN 123,89,12,30,90
PHIL 540,79,14,0,99
OSOT 513,80,12,3,96
OBST 507,83,2,86,90
CPSC 521,83,3,84,94
COMM 477,83,2,81,89
ANTH 407,77,3,88,96
FRST 590,86,13,17,90
CLST 403,86,5,74,92
ECON 306,86,10,44,93
HIST 236,88,3,76,87
CHBE 495,76,3,79,87
LARC 551,81,4,74,87
PSYC 502,81,2,82,90
POLI 563,81,3,82,92
CHEM 312,80,3,77,87
FNEL 101,85,1,86,91
LIBR 514,85,4,77,94
POLI 549,88,8,60,89
DSCI 553,84,,,
WOOD 249,82,2,80,88
EOSC 116,87,2,83,88
MUSC 108,85,4,84,97
ENGL 349,90,17,33,87
PSYC 335,76,15,22,92
PHYS 526,81,10,39,88
COMM 398,80,3,75,90
APPP 506,74,2,82,91
CNTO 301,71,3,87,98
CHEM 301,79,15,0,85
SPAN 495,88,4,79,90
CLST 332,85,4,79,91
CHIN 143,76,2,89,98
MUSC 235,77,3,76,89
ECON 455,75,4,78,89
LASO 309,77,22,38,91
GRSJ 307,71,1,85,88
ENGL 229,75,4,82,96
CHBE 201,78,1,83,86
VISA 240,89,11,46,91
UFOR 201,88,2,83,89
ASIA 599,84,4,71,92
BIOL 450,93,3,82,95
ENGL 307,82,10,21,88
BIOL 301,84,2,79,91
THTR 562,81,5,68,97
CAPS 430,83,7,71,100
CIVL 422,83,5,81,99
PSYC 413,81,4,74,97
MATH 552,87,11,0,95
THTR 410,87,10,20,98
CHBE 419,82,6,80,98
CHBE 366,89,9,60,100
BIOL 455,88,14,14,95
LIBR 576,82,14,46,96
CCFI 508,,8,50,96
GRSJ 511,,3,80,89
BIOC 202,85,11,42,97
BUSI 101,85,9,0,96
CPEN 442,91,7,53,95
RUSS 101,79,6,71,96
CPSC 430,82,,,
MATH 400,79,11,55,99
PHRM 311,87,13,12,100
IGEN 340,87,1,79,82
GEOG 328,91,1,86,89
MATH 320,75,8,60,90
ENGL 346,85,8,64,88
CPEN 642,87,4,78,88
HIST 432,95,2,76,81
ASIA 591,85,6,62,79
ETEC 510,84,15,43,88
APBI 426,77,7,64,90
NURS 506,86,9,60,90
MUSC 163,90,6,66,86
ECON 560,85,7,57,87
CRWR 403,86,6,75,90
MTRL 361,87,1,78,83
CPSC 522,83,14,0,89
ECON 567,88,2,84,90
MUSC 439,83,5,61,78
THTR 299,83,3,75,85
SPPH 546,88,9,56,86
WOOD 384,89,9,43,86
DSCI 574,91,8,61,88
DSCI 511,91,3,75,86
CPSC 448,84,4,79,90
MATH 104,87,2,81,87
FREN 502,93,5,69,90
COMM 691,91,4,80,90
CHIN 131,81,3,83,90
CHEM 311,83,4,77,90
MICB 322,81,0,79,79
EDCP 601,85,4,68,85
GERM 210,78,6,50,89
GEOG 498,81,2,74,82
PLAN 603,75,7,57,87
MTRL 571,85,5,70,85
FRST 498,,7,50,88
BASC 550,,7,0,86
ASIA 348,84,2,72,81
EDST 575,86,6,68,87
FNIS 401,80,2,74,80
NEST 401,88,,,
FREN 122,78,1,77,83
BMEG 501,74,26,0,85
THTR 307,82,10,52,89
MINE 420,79,4,67,82
POLI 492,70,8,55,85
SOCI 387,74,2,72,80
PSYC 321,80,9,42,90
CHBE 487,80,1,76,81
LARC 502,78,5,59,87
PCTH 548,75,3,73,83
FREN 413,86,10,50,90
ARTH 322,80,6,52,88
CHBE 453,71,4,70,85
ARBC 201,87,4,72,88
DSCI 525,73,1,77,81
MINE 455,79,6,66,82
AUDI 571,78,4,67,83
MATH 414,76,9,48,87
UDES 509,79,5,68,83
LARC 542,81,7,55,87
EECE 569,86,6,60,86
PSYC 542,84,7,66,85
UFOR 200,82,6,68,85
BIOL 352,87,8,64,90
EDST 546,86,5,71,85
STAT 450,84,3,67,86
CELL 503,79,2,76,83
MINE 506,76,4,70,83
VISA 390,74,4,70,85
DSCI 572,79,8,50,90
CONS 340,76,2,76,81
IGEN 201,79,2,75,82
EDCP 542,73,9,50,90
MUSC 411,74,6,68,85
MINE 310,79,5,64,84
HIST 485,76,13,52,86
SPPH 513,76,3,73,83
CLST 232,,13,50,90
ARST 510,,9,64,90
GEOG 321,79,6,68,88
CLST 319,67,10,0,90
IGEN 230,73,2,71,80
COHR 406,75,2,71,80
MUSC 365,75,3,74,84
UDES 504,76,6,60,83
MINE 599,74,21,0,90
SOWK 200,78,9,60,89
SPAN 321,75,4,70,87
FRST 432,79,5,63,78
EDST 535,71,6,58,82
CPSC 303,74,4,72,84
BIOC 303,76,5,67,84
FISH 506,79,15,0,85
SPPH 515,79,3,69,85
SPPH 381,76,3,72,83
STAT 540,76,4,68,88
STAT 520,75,3,73,88
APBI 417,76,4,67,85
LLED 526,74,4,71,85
COMM 471,73,8,29,87
EOSC 332,75,5,68,86
ENGL 539,75,5,72,87
MATH 300,74,8,46,90
ECON 565,78,4,70,85
COMM 320,79,3,73,82
GBPR 503,79,13,17,83
CHEM 205,76,5,76,90
FRST 490,76,3,74,83
EOSC 434,74,6,70,85
ENGL 140,78,2,77,82
ECED 439,79,5,67,88
PHIL 101,75,1,77,80
LIBR 559,78,2,77,82
PHYS 333,75,1,78,81
LIBR 530,75,2,75,82
POLI 561,78,6,62,83
EOSC 473,76,4,67,84
ECON 101,78,3,70,80
GRSJ 200,79,4,70,85
EPSE 515,73,13,26,82
CRWR 503,77,5,66,80
SPHA 557,77,4,75,85
MATH 511,77,5,63,84
BIOC 404,79,,,
CPSC 304,74,1,75,80
CPSC 436,69,2,76,81
EOSC 112,76,1,77,80
CIVL 556,78,6,12,85
UDES 505,74,4,54,84
CIVL 540,74,6,50,87
COEC 293,79,4,60,82
ENGL 343,77,4,55,86
ASIA 411,73,5,57,88
ARST 554,78,5,54,88
ASIA 378,79,6,50,90
DHYG 400,77,5,54,85
BIOL 121,79,10,63,94
MTRL 458,76,7,77,95
CPEN 522,79,8,71,95
BAMA 517,72,14,35,94
ENVR 400,78,13,50,99
PHYS 402,79,15,27,96
CIVL 430,74,14,13,99
CPSC 110,79,17,8,90
PLAN 579,77,8,66,94
PCTH 201,74,7,51,92
MATH 426,81,10,0,96
ANTH 317,79,4,76,90
MICB 406,78,2,83,90
THTR 373,79,4,76,86
ECON 472,78,3,82,90
EDCP 550,79,3,81,93
CRWR 353,79,4,72,84
CHIN 403,79,6,66,91
LATN 351,79,3,78,88
BIOL 210,74,4,78,90
ELEC 401,75,6,70,87
BMEG 597,75,4,70,86
PHTH 526,77,4,77,91
ASTU 202,74,7,68,95
BMEG 257,76,5,74,90
APPP 505,79,5,71,88
MICB 325,77,4,70,88
NAME 502,,2,81,89
ARCL 419,,5,75,91
BIOC 440,79,,,
MATH 529,79,3,72,86
NEST 101,79,8,54,89
HIST 394,74,5,71,85
FIST 240,75,3,75,85
THTR 474,74,9,50,93
HIST 385,75,12,50,99
APBI 419,74,8,70,95
CHEM 341,75,7,71,88
BUSI 293,75,18,22,93
RHSC 505,75,7,63,89
MATH 217,74,15,22,95
JRNL 539,79,9,62,94
FNIS 310,84,10,41,92
BAHR 560,86,17,15,94
CHIN 461,77,7,67,84
MICB 203,82,4,81,94
SOWK 525,78,9,70,100
MECH 493,82,6,72,95
PHIL 448,77,2,87,92
BASM 501,80,6,77,96
ELEC 451,84,8,74,96
CIVL 403,85,5,83,99
PCTH 400,86,2,87,92
DHYG 410,88,3,88,96
EPSE 549,81,4,80,91
ENVR 420,86,8,71,95
BMEG 250,89,3,75,85
APSC 279,77,11,39,92
MECH 326,81,6,67,93
EDCP 312,83,10,60,100
MATH 605,84,2,82,91
ACAM 350,79,6,73,97
DHYG 208,80,11,34,93
DHYG 435,84,7,60,94
ENGL 321,86,13,18,94
CIVL 475,82,14,31,97
ECON 301,84,10,54,100
APBI 361,84,4,83,98
MTRL 382,86,8,52,93
GRSJ 235,82,9,56,100
CHEM 569,,10,60,95
CRWR 305,,17,21,92
STAT 443,82,17,21,92
BOTA 501,79,7,49,96
PHYS 401,78,17,10,94
LAST 100,82,17,22,95
EDCP 313,79,8,54,96
WOOD 485,81,11,45,99
WOOD 465,86,8,53,92
LAIS 609,82,12,2,95
CLST 306,75,15,8,99
COMM 475,80,17,0,96
POLI 240,78,5,72,96
PATH 467,82,5,64,90
MECH 529,78,11,21,98
FRST 303,75,11,48,91
ECON 255,77,9,14,94
CHBE 402,89,7,66,93
BIOL 421,88,13,34,100
LING 405,88,12,43,100
CPSC 542,89,16,35,95
CONS 504,90,7,64,95
GERM 370,87,8,26,90
IGEN 451,92,9,50,93
FNEL 142,89,12,0,96
EDST 571,93,10,16,97
BUSI 400,87,13,10,96
BIOL 463,84,5,76,92
PHTH 581,80,6,64,86
ANTH 241,77,13,35,99
COEC 294,84,16,0,98
SOCI 503,87,7,43,93
MINE 504,88,11,40,96
LING 425,87,6,69,92
CNRS 503,73,5,74,93
MATH 502,81,9,46,91
SWED 200,77,1,83,87
MTRL 466,77,3,81,93
LLED 220,83,2,92,98
PLAN 517,92,8,59,95
COMM 474,80,5,75,96
CHEM 245,83,6,75,91
ASTR 200,79,3,84,93
MINE 434,73,4,77,89
MATH 323,73,4,77,89
ECON 337,73,4,88,96
CONS 425,86,2,83,90
BMEG 201,74,6,74,93
ELEC 402,70,12,40,88
SPPH 525,79,6,67,87
VISA 581,78,11,40,90
MATH 321,78,10,40,90
GEOG 442,77,8,39,86
SOCI 501,74,10,67,92
VISA 583,74,8,55,86
ANTH 205,86,5,68,85
MATH 210,82,4,74,86
GEOG 250,84,10,58,89
NURS 353,74,6,66,87
CIVL 523,77,8,58,88
LIBE 467,79,6,62,87
MINE 465,74,8,61,85
BIOL 234,78,10,54,88
MTRL 489,73,8,65,87
AUDI 570,81,9,54,88
HIST 599,77,7,60,91
POLI 328,77,9,46,92
EOSC 547,78,19,2,97
EECE 553,77,10,55,94
CNPS 564,74,12,15,97
HINU 102,86,13,50,95
BIOL 430,79,12,20,96
EOSC 350,80,17,0,98
EDCP 303,73,3,75,82
MINE 291,75,5,80,95
GEOB 309,75,7,80,98
CAPS 303,83,17,21,92
VANT 140,85,10,47,97
BUSI 455,74,21,8,97
PORT 101,85,4,73,83
BAFI 520,86,6,73,94
KORN 410,95,15,31,95
GRSJ 325,83,9,71,98
SOCI 382,87,8,65,89
MATH 551,83,17,16,95
FNEL 141,88,,,
ITAL 301,86,8,75,97
MUSC 529,86,14,46,93
MUSC 162,86,14,50,96
ETEC 500,92,10,52,96
ASTU 101,87,16,5,100
ENGL 304,87,5,70,99
ARCH 500,78,4,82,97
PATH 477,78,4,82,94
ISCI 320,83,6,55,92
FREN 330,82,13,50,90
FISH 500,74,5,72,94
EPSE 512,83,8,60,94
BUSI 112,76,10,68,96
BAIT 511,78,6,75,90
POLI 372,81,3,82,92
POLI 422,79,4,83,96
STAT 548,79,4,76,97
MECH 533,71,9,62,87
GERM 318,71,11,65,89
BIOL 459,76,11,60,88
MUSC 307,74,7,70,85
SPHA 522,77,4,75,86
FNIS 453,73,11,59,86
FREN 353,76,6,70,85
MINE 350,76,10,62,88
ARTH 571,75,10,61,84
NURS 596,76,4,77,92
CPSC 513,77,4,81,93
